ParticleType,Energy
pi-,240.53
pi-,240.53
2pi-,238.241
2pi-,238.241
2pi-,238.241
pi+,167.188
pi+,167.188
pi+,167.188
2pi+,166.094
2pi+,166.094
2pi+,166.094
pi-,94.6272
pi-,94.6272
pi-,94.6272
2pi-,93.5532
2pi-,93.5532
2pi-,93.5532
pi-,271.357
pi-,271.357
2pi-,270.009
2pi-,270.009
pi+,733.23
pi+,733.23
2pi+,732.288
2pi+,732.288
pi+,3047.03
pi+,3047.03
2pi+,3045.97
2pi+,3045.97
pi+,564.945
pi+,564.945
2pi+,564.072
2pi+,564.072
pi-,515.275
pi-,515.275
2pi-,514.365
2pi-,514.365
pi-,1176.1
pi-,1176.1
2pi-,1175.11
2pi-,1175.11
pi-,178.144
pi-,178.144
pi-,178.144
2pi-,176.732
2pi-,176.732
2pi-,176.732
pi+,748.93
pi+,748.93
2mu+,459.524
2mu+,459.524
2mu+,459.524
pi-,211.797
pi-,211.797
pi-,211.797
2pi-,210.644
2pi-,210.644
2pi-,210.644
pi+,326.812
pi+,326.812
2mu+,302.567
2mu+,302.567
pi-,237.899
pi-,237.899
pi-,237.899
2pi-,236.427
2pi-,236.427
2pi-,236.427
pi+,230.938
pi+,230.938
2mu+,203
2mu+,203
mu+,631.644
mu+,631.644
2mu+,630.754
2mu+,630.754
pi-,440.351
pi-,440.351
2pi-,438.982
2pi-,438.982
pi-,395.227
pi-,395.227
2pi-,394.25
2pi-,394.25
pi+,265.125
pi+,265.125
pi+,265.125
2pi+,264.084
2pi+,264.084
pi-,255.127
pi-,255.127
2pi-,251.696
2pi-,251.696
pi+,816.235
pi+,816.235
2mu+,794.376
2mu+,794.376
pi+,2444.16
pi+,2444.16
2pi+,2443.1
2pi+,2443.1
pi+,562.718
pi+,562.718
2pi+,561.28
2pi+,561.28
pi-,1345.06
pi-,1345.06
2pi-,1344.06
2pi-,1344.06
pi-,460.469
pi-,460.469
2pi-,459.399
2pi-,459.399
2pi-,335.46
2pi-,335.46
2pi-,335.46
mu+,41.7248
mu+,41.7248
mu+,34.8554
mu+,34.8554
mu+,34.8554
pi+,431.743
pi+,431.743
2pi+,430.42
2pi+,430.42
pi+,739.067
pi+,739.067
2pi+,738.063
2pi+,738.063
pi-,1028.09
pi-,1028.09
2pi-,1026.92
2pi-,1026.92
pi-,1657.79
pi-,1657.79
2pi-,1656.79
2pi-,1656.79
pi+,576.079
pi+,576.079
2pi+,574.738
2pi+,574.738
pi+,438.84
pi+,438.84
2pi+,437.814
2pi+,437.814
pi+,549.229
pi+,549.229
2pi+,548.153
2pi+,548.153
